processed_paragraphs,summarized_paragraphs
" In order to bene t from experience and existing best practice, risk management planning should take into  account relevant existing templates for work products, such as risk status reports, risk breakdown structures  or the risk register. A decision should be made as to which templates are relevant to the project, and these  should then be adapted and included in the risk management plan. ","risk management planning should take into account relevant existing templates for work products. risk status reports, risk breakdown structures or risk register should be included in risk management plan."
" The results of risk management planning are documented in the risk management plan. The plan serves  to provide all project stakeholders with a common view of how the riskrelated activities of the project will be  handled, what has been agreed upon, and a description of the stakeholders involvement and responsibilities  in these activities. An overview of the key areas of focus is given in Figure 41.     Figure 41. Key Areas of Focus for the Plan Risk Management Process   Depending upon the size and complexity of the project, some or all of the following elements will be present  in a risk management plan.   Introduction;     Project description;     Risk management methodology;     Risk management organization;     Roles, responsibilities, and authority;     Stakeholder risk tolerance;     Criteria for success;     Risk management tools and guidelines for use;     Thresholds and corresponding de nitions;     Templates;     Communications plan;     Strategy; and     Risk breakdown structure.    25 2009 Project Management Institute. Practice Standard for Project Risk Management 5  CHAPTER 5   IDENTIFY RISKS ",the results of risk management planning are documented in the risk management plan. the plan serves to provide all project stakeholders with a common view of how the risk related activities of the project will be handled. an overview of the key areas of focus is given in Figure 41.
" A risk cannot be managed unless it is  rst identi ed. Consequently, after risk management planning has  been completed, the  rst process in the iterative Project Risk Management process aims to identify all the  knowable risks to project objectives.   It is, however, impossible to identify all the risks at the outset of a project. Over time, the level of project  risk exposure changes as a result of the decisions and actions taken previously in the project   and of externally imposed change.   The purpose of risk identi cation is to identify risks to the maximum extent that is practicable. The fact that  some risks are unknowable or emergent requires the Identify Risk process to be iterative, repeating the Identify  Risks process to  nd new risks which have become knowable since the previous iteration of the process.   When a risk is  rst identi ed, potential responses may also be identi ed at the same time. These should be  recorded during the Identify Risks process and considered for immediate action if such action is appropriate.  Where such responses are not implemented immediately, these should be considered during the Plan Risk  Responses process. ",rst process in iterative project risk management process aims to identify all the knowable risks to project objectives. the purpose of risk identi cation is to identify risks to the maximum extent that is practicable. risks are unknowable or emergent.
 The practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the  Identify Risks process and enhance the likelihood of identifying as many risks as practicable. ,the practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the Identify Risks process and enhance the likelihood of identifying as many risks as practicable.
" Risk identi cation should be performed as early as possible in the project lifecycle, recognizing the paradox  that uncertainty is high in the initial stages of a project so there is often less information on which to base the  risk identi cation. Early risk identi cation enables key project decisions to take maximum account of risks  inherent in the project, and may result in changes to the project strategy. It also maximizes the time available  for development and implementation of risk responses, which enhances ef ciency since responses taken early  are often normally less costly than later ones.  26 2009 Project Management Institute. Practice Standard for Project Risk Management 5 CHAPTER 5  IDENTIFY RISKS","risk identi cation should be performed as early as possible in the project lifecycle. early risk identi cation enables key project decisions to take maximum account of risks inherent in the project. it maximizes the time available for development and implementation of risk responses, which enhance ef ciency."
" Since not all risks can be identi ed at any given point in the project, it is essential that risk identi cation is  repeated throughout the project life cycle. This should be done periodically, at a frequency determined during  the Plan Risk Management process. Risk identi cation might also be repeated at key milestones in the project,  or whenever there is signi cant change to the project or its operating environment. ",risk identi cation should be repeated throughout the project life cycle. risk identi cation may also be repeated at key milestones in the project.
" In addition to invoking the Identify Risks process as de ned in the project plan, the Project Risk Management  process should permit risks to be identi ed at any time, not limited to formal risk identi cation events or  regular reviews. ","the Project Risk Management process should permit risks to be identi ed at any time, not limited to formal risk identi cation events or regular reviews."
 A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that  might affect objectives have been identi ed. ,a broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identi ed.
 The Identify Risks process should ensure opportunities are properly considered. ,the Identify Risks process should ensure opportunities are properly considered. the Identify Risks process should ensure opportunities are properly considered. the Identify Risks process should ensure opportunities are properly considered.
 The Identify Risks process should take input from a broad range of project stakeholders to ensure that  all perspectives are represented and considered. Limiting risk identi cation to the immediate project team is  unlikely to expose all knowable risks. ,the Identify Risks process should take input from a broad range of project stakeholders to ensure that all perspectives are represented and considered. limiting risk identi cation to the immediate project team is unlikely to expose all knowable risks.
" Each identi ed project risk should relate to at least one project objective ,  noting that the  PMBOK    Guide  de nes risk as an uncertain event or condition that, if it occurs, has a positive  or a negative effect on a projects objectives. Consideration of each project objective during the Identify Risks  process will assist in identifying risks, noting that some risks may affect more than one objective. ",each identi ed project risk should relate to at least one project objective. consideration of each project objective during the Identify Risks process will assist in identifying risks.
" Identi ed risks should be clearly and unambiguously described, so that they can be understood by those  responsible for risk assessment and risk response planning. Single words or phrases such as resources  or logistics are inadequate and do not properly communicate the nature of the risk. More detailed risk  descriptions are required which explicitly state the uncertainty and its causes and effects.  27 2009 Project Management Institute. Practice Standard for Project Risk Management 5 CHAPTER 5  IDENTIFY RISKS",Identi ed risks should be clearly and unambiguously described. single words or phrases such as resources or logistics are inadequate. more detailed risk descriptions are required which explicitly state the uncertainty.
" Risks can be identi ed at a number of levels of detail. A generalized or highlevel description of risk can  make it dif cult to develop responses and assign ownership, while describing risks in a lot of detail can create  a great deal of work. Each risk should be described at a level of detail at which it can be assigned to a single  risk owner with clear responsibility and accountability for its management. Trigger conditions should also be  identi ed where this is possible and appropriate. ",risk can be identi ed at a number of levels of detail. a generalized or highlevel description of risk can make it dif cult to develop responses and assign ownership. each risk should be described at a level of detail.
" All human activities are susceptible to bias, especially when dealing with uncertainty. Both motivational  biases, where someone is trying to bias the result in one direction or another, or cognitive biases, where  biases occur as people are using their best judgment and applying heuristics, may occur. This should be  explicitly recognized and addressed during the Identify Risks process. Sources of bias should be exposed  wherever possible, and their effect on the risk process should be managed proactively. The aim is to minimize  subjectivity, and allow open and honest identi cation of as many risks as possible to the project. ",biases occur as people are using their best judgment and applying heuristics. biases occur as people are using their best judgment and applying heuristics.
" A range of tools and techniques is available for risk identi cation. These fall into the following three  categories, as illustrated in Figure 51:   Figure 51. Three Perspectives of Risk Identification  28 2009 Project Management Institute. Practice Standard for Project Risk Management 5 CHAPTER 5  IDENTIFY RISKS","a range of tools and techniques is available for risk identi cation. these fall into the following three categories, as illustrated in Figure 51."
" Historical reviews are based on what occurred in the past, either on this project, or other similar projects  in the same organization, or comparable projects in other organizations. Historical review approaches rely on  careful selection of comparable situations which are genuinely similar to the current project, and  ltering of  data to ensure that only relevant previous risks are considered. In each case, the risks identi ed in the selected  historical situation should be considered, asking whether they or similar risks might arise in this project. ",historical review approaches rely on careful selection of comparable situations. the risks identi ed in the selected historical situation should be considered.
" Current assessments rely on detailed consideration of the current project, analyzing its characteristics  against given frameworks and models in order to expose areas of uncertainty. Unlike historical review  approaches, current assessment techniques do not rely on outside reference points, but are based purely on  examination of the project. ",current assessments rely on detailed consideration of the current project. current assessment techniques do not rely on outside reference points. current assessment techniques do not rely on outside reference points.
" A wide range of creativity techniques can be used for risk identi cation, which encourages project  stakeholders to use their imagination to  nd risks which might affect the project. The outcomes or effectiveness  of these techniques depend on the ability of participants to think creatively. These techniques can be used  either singly or in groups, and employ varying degrees of structure. These techniques depend on the ability of  participants to think creatively, and their success is enhanced by use of a skilled facilitator.   Each category of risk identi cation technique has strengths and weaknesses, and no single technique  can be expected to reveal all knowable risks. Consequently, the Identify Risks process for a particular project  should use a combination of techniques, perhaps selecting one from each category. For example, a project may  choose to use a risk identi cation checklist , together with assumptions analysis  and brainstorming .   Use of a risk breakdown structure which organizes the categories of potential risks on the project, a prompt  list, or a set of generic list categories may assist in ensuring that as many sources of risk as practicable have  been addressed, while recognizing that no such tools are complete nor can they replace original thinking.  29 2009 Project Management Institute. Practice Standard for Project Risk Management 5 CHAPTER 5  IDENTIFY RISKS  Whichever risk identi cation techniques are used, it is important that identi ed risks are unambiguously  described in order to ensure that the project risk process is focused on the actual risks and not distracted or  diluted by nonrisks. Use of structured risk descriptions can ensure clarity. Risk metalanguage offers a useful  way of distinguishing a risk from its cause and effect, describing each risk using threepart statements in  the form: As a result of cause, risk may occur, which would lead to effect. The relationship between cause,  risk, and effect is shown in Figure 52.     Figure 52. Cause, Risk, and Effect ",risk identi cation techniques can be used either singly or in groups. these techniques depend on the ability of participants to think creatively. each category of risk identi cation technique has strengths and weaknesses. no one can be expected to reveal all knowable risks.
" The results from the Identify Risks process should be recorded in order to capture all relevant information  currently available for each identi ed risk. The main output from the Identify Risks process is the risk register.  This includes a properly structured risk description and the nominated risk owner for each risk, and may also  include information on the causes and effects of the risk, trigger conditions, and preliminary responses.  31 2009 Project Management Institute. Practice Standard for Project Risk Management 6  CHAPTER 6   PERFORM QUALITATIVE RISK ANALYSIS ",the main output from the Identify Risks process is the risk register. this includes a properly structured risk description and the nominated risk owner for each risk.
"Analysis Process   The Perform Qualitative Risk Analysis process assesses and evaluates characteristics of individually  identi ed project risks and prioritizes risks based on agreedupon characteristics.   Assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur  and the effect of each individual risk on the project objectives. As such it does not directly address the overall  risk to project objectives that results from the combined effect of all risks and their potential interactions with  each other. This can however be achieved through use of quantitative risk analysis techniques .   One step in the analysis is to categorize risks according to their sources or causes. If several risks arise  from a common source, sometimes called a root cause, risk responses may be more effective when they focus  on addressing this root cause.   Identifying common effects from groups of risks allows identi cation of the areas of greatest risk exposure  , facilitating risk response  focus in these areas.   The methods of qualitative risk analysis are applied to the list of risks created or updated by the Identify  Risks process to provide project management with the characteristics of the risks that have the most in uence   on achieving the projects objectives. Risks that are assessed as high priority to either  threaten or to enhance the achievement of project objectives will be an important focus in the Plan Risk  Responses process. They may be further analyzed, such as in the analysis of the overall project risk that is  discussed in Perform Quantitative Risk Analysis process. ",quantitative risk analysis is applied to the list of risks created or updated by the Identify Risks process to provide project management with the characteristics of the risks that have the most in uence on achieving the projects objectives.
"Analysis Process   Several factors that lead to successful qualitative risk analysis are described in Sections 6.2.1 through  6.2.4, and summarized in Figure 61. Agreement of the project stakeholders is a fundamental criterion and  a common theme. The agreedupon approach is the foundation of process credibility. Then, agreedupon  de nitions enable highquality information to be collected. Finally, with these conditions in place, the process  can be executed reliably, which contributes to the credibility of its outputs.  32 2009 Project Management Institute. Practice Standard for Project Risk Management 6 CHAPTER 6  PERFORM QUALITATIVE RISK ANALYSIS    Figure 6 1. Building Risk Analysis Credibility ","the agreedupon approach is the foundation of process credibility. the process can be executed reliably, which contributes to the credibility of its outputs."
" The process is based on an agreedupon approach to this assessment that is applied across all of the  identi ed risks in any project. By the nature of project risk, all risks may be assessed according to probability  of occurrence and impact on individual objectives should the risk occur. Other factors may be considered in  determining the importance of a risk as follows:      Urgency .  Risks requiring near term responses may be considered more urgent to  address. Indicators of urgency can include the lead time necessary to execute a risk response and the  clarity of symptoms and warning signs  that may trigger the response.   Manageability.     Some risks are not manageable and it would be a waste of resources to attempt to  address them. The project team may examine these and decide to:   Go forward, perhaps establishing a contingency reserve.      Stop or rescope the project because these risks pose an unmanageable threat or an      opportunity that should not be missed with high probability and consequences.   Inform the customer of the risks and ask for a decision from their point of view.        Impact external to the project.      A risk may increase in importance if it affects the enterprise beyond  the project. ",identi ed risks may be assessed according to probability of occurrence and impact on individual objectives. risks requiring near term responses may be considered more urgent to address.
" The risk assessment should be based on agreedupon de nitions of important terms, and those de nitions  should be used consistently when assessing each risk. The use of de nitions, for example, of levels of probability  and of impact on objectives, assists the providers of the information in giving realistic assessments for each  risk, and facilitates the communication of the results to management and other stakeholders.  33 2009 Project Management Institute. Practice Standard for Project Risk Management 6 CHAPTER 6  PERFORM QUALITATIVE RISK ANALYSIS",risk assessment should be based on agreedupon de nitions of important terms. the use of de nitions helps the providers of the information in giving realistic assessments for each risk.
" Collection of highquality information about risks is required. Often this information is not available in any  historic database and should be gathered by interviews, workshops, and other means using expert judgment. Data  gathered from individuals may be subject to reporting or intentional bias. When this occurs, the bias should be  identi ed and remedied where possible, or a different, unbiased source of information should be found and used. ","data gathered from individuals may be subject to reporting or intentional bias. bias should be identi ed and remedied where possible, or a different, unbiased source should be found and used."
" The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project. It  is impossible to know in advance all the risks that may occur in a project, therefore the Identify Risks and Perform  Qualitative Analysis processes should be repeated periodically for individual risks. The frequency of this effort will  be planned in the Plan Risk Management process, but may also depend on events within the project itself. ",the process is used periodically throughout the project. it is impossible to know in advance all risks that may occur in a project. the frequency of this effort will be planned in the Plan Risk Management process.
 The tools and techniques used for assessing individual risks will identify the risks that are important to the  projects success. This process is illustrated in Figure 62.     Figure 62. The Perform Qualitative Risk Analysis Process  34 2009 Project Management Institute. Practice Standard for Project Risk Management 6 CHAPTER 6  PERFORM QUALITATIVE RISK ANALYSIS,the tools and techniques used for assessing individual risks will identify the risks that are important to the projects success. this process is illustrated in Figure 62. the perform qualitative risk analysis process 34 2009 Project Management Institute.
 Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or  further analysis from those that are less important. The criteria that make a risk of interest to management are  agreed upon in advance and implemented in the tools used. Output from qualitative risk analysis tools includes  a listing of risks in priority order or in priority groups .   The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels  or combinations of risk characteristics that make a particular risk of interest to management. Most tools assess  a risks importance from a combination of probability of occurrence and degree of impact on objectives. ,qualitative risk analysis tools provide ways to distinguish risks that are important for response or further analysis from those that are less important. tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management.
" Assessment of individual risks is based on information collected about them. Therefore, data collection  and evaluation tools, including interviews, workshops, and references to databases of prior projects, require  management support and attention. It is important to protect against bias in data gathering, which is important  when relying on expert judgment for the information. ","data collection tools, including interviews, workshops, and references to databases, require management support and attention. it is important to protect against bias in data gathering, which is important when relying on expert judgment for the information."
 Some tools permit distinguishing a risks priority in terms of the affected objective. This capability provides  a list of risks that are important for any speci c objective of interest to management. This is useful since it is  common for risks to have uneven impacts on various project objectives. ,some tools permit distinguishing a risks priority in terms of the affected objective. this capability provides a list of risks that are important for any speci c objective of interest to management.
" There are reasons for constructing a measure of a speci c risks importance to the entire project as  contrasted with its importance to speci c objectives. A common reason is for ease of communication with  management and other stakeholders. When a single risk prioritization index is needed, the organization should  be explicit about how that index is created. Usually the index re ects the organizations preference among  objectives. The technique for creating the overall risk priority measure should be documented in the Plan Risk  Management process.  35 2009 Project Management Institute. Practice Standard for Project Risk Management 6 CHAPTER 6  PERFORM QUALITATIVE RISK ANALYSIS",there are reasons for constructing a measure of a speci c risks importance to the entire project as contrasted with its importance to speci c objectives. a common reason is for ease of communication with management and other stakeholders.
" Categorizing risks appropriately may lead to improved analysis of the probability and magnitude of  project risk and to effective responses. Understanding the relationships between risks may provide a better  understanding of the possibility and magnitude of project risk than if risks are only considered as separate  and independent events. Identifying common root causes of a group of risks, for instance, may reveal both the  magnitude of the risk event for the group as a whole along with effective strategies that might address several  risks simultaneously. Alternatively, some risks may be linked with others in a causal chain, and understanding  the chain of risks may lead to a better understanding of the implication of risk for the project. Identifying risks  that can occur at the same time or using the same resources for recovery might provide a realistic picture of  problems of risk mitigation using scarce resources.   Combining the results of the Perform Qualitative Risk Analysis process with the risk breakdown structure   can show clusters of priority risks arising from speci c sources. A combination  of the risk analysis information with the work breakdown structure  can show which areas of the project  exhibit the most risk. Assessing the highpriority risks impact on one objective, such as the schedule, may  indicate which activities to address to reduce that objectives uncertainty. All of these approaches can contribute  to the realism and usefulness of the qualitative risk analysis. ",identifying common root causes of a group of risks may reveal both the magnitude of the risk event for the group as a whole and effective strategies that might address several risks simultaneously. identifying risks that can occur at the same time or using the same resources for recovery might provide a realistic picture of problems of risk mitigation using scarce resources.
" The Perform Qualitative Risk Analysis process adds structure to the list of undifferentiated risks  into categories of priority. Priorities are usually based on the risks probability of occurring  and its potential impact on speci c project objectives or on the whole project. Each identi ed risk is assigned  a priority, perhaps by objective or for the entire project. This information is usually stored in the risk register  which is easy to use and update with new information. The risk register list of prioritized risks is posted to the  project participants who are responsible for further analysis or action to improve the project plan. Risks that  are judged to have high priority are segregated for further analysis and response planning and are generally  monitored frequently. Risks of low priority to the project may be placed on a watch list and are reviewed less  often for changes in their status.  37 2009 Project Management Institute. Practice Standard for Project Risk Management 7  CHAPTER 7   PERFORM QUANTITATIVE RISK ANALYSIS ",the Perform Qualitative Risk Analysis process adds structure to the list of undifferentiated risks into categories of priority. priorities are usually based on the risks probability of occurring and its potential impact on speci c project objectives or on the whole project. risks that are judged to have high priority are segregated for further analysis and response planning.
"Analysis Process   The Perform Quantitative Risk Analysis process provides a numerical estimate of the overall effect of risk on  the objectives of the project, based on current plans and information, when considering risks simultaneously.  Results from this type of analysis can be used to evaluate the likelihood of success in achieving project  objectives and to estimate contingency reserves, usually for time and cost that are appropriate to both the risks  and the risk tolerance of project stakeholders.   It is generally accepted that analyzing uncertainty in the project using quantitative techniques such as  Monte Carlo simulation may provide more realism in the estimate of the overall project cost or schedule  than a nonprobabilistic approach which assumes that the activity durations or lineitem cost estimates are  deterministic. However it should be recognized that quantitative risk analysis is not always required or appropriate  for all projects. For example, qualitative risk analysis may provide enough information for development of  effective risk responses, especially for smaller projects. Therefore, during the Plan Risk Management process,  the bene ts of quantitative risk analysis should be weighed against the effort required to ensure that the  additional insights and value justify the additional effort.   Partial risk analyses, such as qualitative risk analysis, aim at prioritizing individual risks viewed one at a time  and therefore cannot produce measures of overall project risk when all risks are considered simultaneously.  Calculating estimates of overall project risk is the focus of the Perform Quantitative Risk Analysis process.   Speci c project risks are usually best understood and quanti ed at a detailed level such as the lineitem  cost or schedule activity level. By contrast, project objectives such as achievement of the projects budget or  the schedule are speci ed at a higher level, often at the level of the total project. An overall risk analysis, such  as one that uses quantitative techniques, estimates the implication of all quanti ed risks on project objectives.  The implementation of overall risk analysis using quantitative methods requires:    Complete and accurate representation of the project objectives built up from individual project    elements. Examples of these representations include the project schedule or cost estimate.    Identifying risks on individual project elements such as schedule activities or lineitem costs at a    level of detail that lends itself to speci c assessment of individual risks.   Including generic risks that have a broader effect than individual project elements.      Applying a quantitative method  that incorporates    multiple risks simultaneously in determining overall impact on the overall project objective.  38 2009 Project Management Institute. Practice Standard for Project Risk Management 7 CHAPTER 7  PERFORM QUANTITATIVE RISK ANALYSIS  Results of the quantitative analysis will be compared to the project plan  to give  management an estimate of the overall project risk and will answer important questions such as:   What is the probability of meeting the projects objectives?      How much contingency reserve  is needed to    provide the organization with the level of certainty it requires based upon its risk tolerance?    What are those parts of the project, such as lineitem costs or schedule activities, which contribute    the most risk when all risks are considered simultaneously?   Which individual risks contribute the most to overall project risk?     Estimating overall project risk using quantitative methods helps distinguish those projects where quanti ed  risks threaten objectives beyond the tolerance of the stakeholders, from those for which the objectives are  within acceptable tolerances even when risk is considered. The former may be targeted for vigorous risk  responses aimed at protecting those objectives most important to the stakeholders.   A highlevel comparison of quantitative and qualitative risk analysis processes is presented in Figure 71.     Figure 71. Comparison of Qualitative and Quantitative Approaches ",results from this type of analysis can be used to evaluate the likelihood of success in achieving project objectives. quantitative risk analysis may provide more realism in the estimate of the overall project cost or schedule than a nonprobabilistic approach which assumes that the activity durations or lineitem cost estimates are deterministic.
Analysis Process   Success in achieving the objectives of quantitative risk analysis depends explicitly on at least the factors  described in Sections 7.2.1 through 7.2.6.  39 2009 Project Management Institute. Practice Standard for Project Risk Management 7 CHAPTER 7  PERFORM QUANTITATIVE RISK ANALYSIS,analysis Process Success in achieving the objectives of quantitative risk analysis depends explicitly on at least the factors described in Sections 7.2.1 through 7.2.6. 39 2009 Project Management Institute.
 The Perform Quantitative Risk Analysis process occurs after the Identify Risks and Perform Qualitative  Risk Analysis processes have been completed. Reference to a prioritized list of identified risks ensures  that the Perform Quantitative Risk Analysis process will consider all significant risks when analyzing their  effects quantitatively. ,the Perform Quantitative Risk Analysis process occurs after the Identify Risks and Perform Qualitative Risk Analysis processes have been completed. reference to a prioritized list ensures that the Perform Quantitative Risk Analysis process will consider all significant risks when analyzing their effects quantitatively.
" An appropriate model of the project should be used as the basis for quantitative risk analysis. Project  models most frequently used in quantitative risk analysis include the project schedule , lineitem  cost estimates , decision tree  and other totalproject models.  Quantitative risk analysis is especially sensitive to the completeness and correctness of the model of the  project that is used. ","project models most frequently used in quantitative risk analysis include project schedule. project models include lineitem cost estimates, decision tree and other totalproject models."
" Often highquality data about risks are not available in any historic database and should be gathered  by interviews, workshops, and other means using expert judgment of those present. Collection of risk data  requires resources and time as well as management support. ",high quality data about risks is not available in any historic database. collection of risk data requires resources and time as well as management support.
" Success in gathering risk analysis data requires the ability to recognize when biases occur and combating  that bias or developing other unbiased sources of the data. Bias in risk data can occur for many reasons, but  two common sources of bias are cognitive bias and motivational bias. ","risk analysis data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias. cognitive bias and motivational bias are common sources of bias."
" The Perform Quantitative Risk Analysis process is based upon a methodology that correctly derives the  overall project risk from the individual risks. In risk analysis of cost and schedule, for example, an appropriate  method is Monte Carlo simulation. A decision tree is an appropriate method for making decisions when future  events are not certain, using the probability and impact of all risks, and combining their effect to derive an  overall project measure such as value or cost. In each of these methods, the risks are speci ed at the level  of the detailed tasks or lineitem costs and incorporated into the model of the project to calculate effects on  objectives such as schedule or cost for the entire project, by combining those risks.  40 2009 Project Management Institute. Practice Standard for Project Risk Management 7 CHAPTER 7  PERFORM QUANTITATIVE RISK ANALYSIS","the Perform Quantitative Risk Analysis process is based on a methodology that correctly derives the overall project risk from the individual risks. in risk analysis of cost and schedule, for example, an appropriate method is Monte Carlo simulation. a decision tree is an appropriate method for making decisions when future events are not certain."
" Attention should be given to the possibility that the individual risks in the project model are related to  each other. For example, several risks may have a common root cause and therefore are likely to occur  together. This possibility is sometimes addressed by correlating the risks that are related, ensuring that  they generally occur together during the analysis. Another common way to represent the risks which occur  together is by using the risk register listing of the risk or root cause and attaching it to several project  elements such as schedule activities or cost elements. When a particular risk occurs, the affected elements  will all experience the effect of that risk together. ",several risks may have a common root cause and therefore are likely to occur together. a common way to represent the risks which occur together is by using the risk register listing.
"Analysis Process   Tools and techniques used appropriately for quantitative risk analysis have several characteristics, as  follows: ","analysis Process Tools and techniques used appropriately for quantitative risk analysis have several characteristics, as follows. analysis process tools and techniques used appropriately for quantitative risk analysis have several characteristics."
" Risk models permit representation of many, if not all, of the risks that have impact on an objective  simultaneously. They also permit the representation of both opportunities and threats to the projects  objectives. ","risk models permit representation of many, if not all, of risks that have impact on an objective simultaneously. they also permit the representation of both opportunities and threats to the projects objectives."
" Quantitative models facilitate the correct calculation of the effect of many risks, which are typically identi ed  and quanti ed at a level of detail below the total project, on the project objectives, which are typically described  at the level of the total project. ","quantitative models facilitate the correct calculation of the effect of many risks, which are typically identi ed and quanti ed at a level of detail below the total project."
" Probability models use a quantitative method that addresses uncertainty. Speci cally, the methods should  be able to handle the way uncertainty is represented, predominantly as probability of an events occurring or as  probability distributions for a range of outcomes. A good example of this is the use of Monte Carlo simulation  tools that permit the combination of probability distributions of lineitem costs or schedule activity durations,  many of which are uncertain. ",probability models use a quantitative method that addresses uncertainty. the methods should be able to handle the way uncertainty is represented. a good example of this is the use of Monte Carlo simulation tools.
" Data gathering tools used in this process include assessment of historical data and workshops, interviews, or  questionnaires to gather quanti ed informationfor example, on the probability of a risk occurring, a probability  distribution of its potential impacts on cost or time, or relationships such as correlation between risks.  41 2009 Project Management Institute. Practice Standard for Project Risk Management 7 CHAPTER 7  PERFORM QUANTITATIVE RISK ANALYSIS","data gathering tools include assessment of historical data and workshops, interviews, or questionnaires to gather quanti ed information. the practice standard for Project Risk Management 7 CHAPTER 7 PERFORM QUANTITATIVE RISK ANALYSIS."
" Results from the quantitative tools are generally not available in standard deterministic project management  methods such as project scheduling or cost estimating. Examples of these are the probability distribution of  project completion dates or total costs and the expected value of a project decision. These results, when all  risks are considered simultaneously, include the following:   Probability of achieving a project objective such as  nishing on time or within budget.      Amount of contingency reserve in cost, time, or resources needed to provide a required level of    con dence.    Identity or location within the project model of the most important risks. An example of this is a    sensitivity analysis in a cost risk analysis or a criticality analysis in a schedule risk analysis.   The elements of a quantitative risk analysis are illustrated in Figure 72.     Figure 72. Structure of a Quantitative Risk Analysis  42 2009 Project Management Institute. Practice Standard for Project Risk Management 7 CHAPTER 7  PERFORM QUANTITATIVE RISK ANALYSIS",quantitative tools are generally not available in standard deterministic project management methods such as project scheduling or cost estimating. results include probability distribution of project completion dates or total costs and the expected value of a project decision. examples of these include the probability distribution of project completion dates or total costs and the expected value of a project decision.
 The success of the Perform Quantitative Risk Analysis process is enhanced if the process is used periodically  throughout the project. It is impossible to know in advance all of the risks that may occur in a project. Often  quantitative risk analysis should be repeated as the project proceeds. The frequency of this effort will be  determined during the Plan Risk Management process but will also depend on events within the project itself  . ,the success of the Perform Quantitative Risk Analysis process is enhanced if the process is used periodically throughout the project. it is impossible to know in advance all of the risks that may occur in a project. the frequency of this effort will be determined during the Plan Risk Management process.
" Overall project contingency reserve in time and cost should be re ected in the projects schedule and  budget. Quantitative risk analysis provides information that may be used to modify the project plan. If  the overall risk to time and cost indicates that an adjustment in scope is needed, the scope changes are  agreed upon and documented and a new quantitative risk analysis is carried out to re ect the new aspects  of the project. ","quantitative risk analysis provides information that may be used to modify the project plan. if the overall risk to time and cost indicates that an adjustment in scope is needed, the scope changes are agreed upon and documented."
"Analysis Process   The contingency reserves calculated in quantitative project cost and schedule risk analysis are incorporated,  respectively, into the cost estimate and the schedule to establish a prudent target and a realistic expectation  for the project. Contingency reserves may also be established to provide for the capture of opportunities that  are judged to be priorities for the project. If the contingency reserve required exceeds the time or resources  available, changes in the project scope and plan may result.   Also, the results of the analysis may provide more or less urgency to risk response  depending on the probability of achieving the plans objectives or the amount of contingency reserve  required to provide the necessary level of con dence. The results of a quantitative risk analysis are recorded  and passed on to the person andor group responsible for project management within the organization for any  further actions required to make full use of these results.  43 2009 Project Management Institute. Practice Standard for Project Risk Management 8  CHAPTER 8   PLAN RISK RESPONSES   The Plan Risk Responses process determines effective response actions that are appropriate to the priority  of the individual risks and to the overall project risk. It takes into account the stakeholders risk attitudes and  the conventions speci ed in the Risk Management Plan, in addition to any constraints and assumptions that  were determined when the risks were identi ed and analyzed. ",contingency reserves calculated in quantitative project cost and schedule risk analysis are incorporated into the cost estimate and the schedule to establish a prudent target and a realistic expectation for the project. results of the analysis may provide more or less urgency to risk response depending on the probability of achieving the plans objectives or the amount of contingency reserve required to provide the necessary level of con dence.
